,Lot,PPN,cote,titre,nom de fichier attendu v2,Nalaka (JP2),handle Nakala jp2,poids (MB),georef,handle_full_georef,handle geotiff,handle geotiff pdf,handle geotiff points,handle geotiff jp2,poids (MB).1,northlimit,southlimit,westlimit,eastlimit,group,Notes
0,Lot 1,174747179,10-02-01-01,Afrique pour la petite géographie méthodique et le manuel de géographie Achille Meissas et Michelot,B335222107_10_02_01_01_001.jp2,,11280/b625eaa7,16.7,,,,,,,,39.72,-37.31,-39.79,65.89,,
1,Lot 1,174773323,10-02-01-02,L'expansion des nations européennes en Afrique,B335222107_10_02_01_02_001.jp2,,11280/ac3d6625,30.3,,,,,,,,44.92,-41.27,-21.21,60.1,,
2,Lot 1,175080690,10-02-01-03,"Aventures, périls et découvertes des voyageurs à travers le monde. Afrique, principaux explorateurs",B335222107_10_02_01_03_001.jp2,,11280/663a86d9,29.8,,,,,,,,45.87,-38.36,-55.1,94.33,,
3,Lot 1,175082685,10-02-01-04,Afrique physique dressée et dessinée par J.V. Barbier,B335222107_10_02_01_04_001.jp2,,11280/75007323,79.9,,,,,,,,40.16,-40.97,-50.64,76.79,,
4,Lot 1,,10-02-02-01,Atlas de Géographie générale. Afrique,B335222107_10_02_02_01_001.jp2,,11280/0f909aba,55.6,,,,,,,,,,,,,Intérieur d'un atlas : juste du texte
5,Lot 1,,10-02-02-01,Atlas de Géographie générale. Afrique,B335222107_10_02_02_01_002.jp2,,11280/ce9abc41,110.6,,,,,,,,,,,,,
6,Lot 1,,10-02-02-01,Atlas de Géographie générale. Afrique,B335222107_10_02_02_01_003.jp2,,11280/430d7966,57.8,,,,,,,,,,,,,
7,Lot 1,177116692,10-02-02-02,Algérie et Tunisie,B335222107_10_02_02_02_001.jp2,,11280/e45299d0,108.0,,,,,,,,37.57,29.22,-2.28,11.55,,
8,Lot 1,177117192,10-02-02-03,Région saharienne française,B335222107_10_02_02_03_001.jp2,,11280/313d8726,58.0,,,,,,,,37.66,19.56,-3.03,11.24,,
9,Lot 1,177118849,10-02-02-04,Afrique centrale. Sénégal-Niger,B335222107_10_02_02_04_001.jp2,,11280/4fb29044,57.9,,,,,,,,17.87,-4.79,-24.18,15.24,,
10,Lot 1,177119276,10-02-02-05,Afrique centrale. Congo-Nil,B335222107_10_02_02_05_001.jp2,,11280/8cb27585,53.6,,,,,,,,17.88,-4.08,12.31,51.06,,
11,Lot 1,177122250,10-02-02-06,Afrique,B335222107_10_02_02_06_001.jp2,,11280/ac1f8eea,113.0,,,,,,,,45.55,-44.97,-28.58,69.33,,
12,Lot 1,177122838,10-02-02-07,Afrique (centrale et australe),B335222107_10_02_02_07_001.jp2,,11280/3cb76b90,288.8,,,,,,,,20.64,-35.75,-23.13,60.0,,
13,Lot 1,177041862,10-02-04-01,Algérie d'après les cartes de l'Etat Major et les documents du Ministère de la Guerre,B335222107_10_02_04_01_001.jp2,,11280/575c1a38,181.9,,,,,,,,37.49,31.5,-2.19,8.83,,
14,Lot 1,177039620,10-02-05-01,"Algérie, colonie française. Région du sud",B335222107_10_02_05_01_001.jp2,,11280/bad9740f,56.9,,,,,,,,37.97,33.38,-2.92,11.1,,
15,Lot 1,176999663,10-02-05-02,Congrès d'Alger. Carte des excursions,B335222107_10_02_05_02_001.jp2,,11280/e6216def,15.9,,,,,,,,36.99,35.87,2.0,4.42,,
16,Lot 1,176995021,10-02-05-03,Carte de l'Algérie indiquant les centres de colonisation à peupler pendant la campagne agricole 1876-1877,B335222107_10_02_05_03_001.jp2,,11280/ae4da717,36.9,,,,,,,,42.68,33.57,-3.64,10.96,,
17,Lot 1,176996036,10-02-05-04,Carte de l'Algérie indiquant les centres de colonisation à créer pendant l'année 1880,B335222107_10_02_05_04_001.jp2,,11280/6d7771c5,38.2,,,,,,,,42.5,34.0,-3.67,11.03,,
18,Lot 1,176984216,10-02-05-05,Carte des étapes de la province d'Oran,B335222107_10_02_05_05_001.jp2,,11280/b520e5af,55.5,,,,,,,,37.16,33.58,-2.24,2.66,,
19,Lot 1,176986081,10-02-05-06,Carte des étapes de la province d'Alger,B335222107_10_02_05_06_001.jp2,,11280/2bb21275,56.4,,,,,,,,37.02,33.71,0.26,5.06,,
20,Lot 1,176987355,10-02-05-07,Carte des étapes de la province de Constantine,B335222107_10_02_05_07_001.jp2,,11280/1dd9b4f3,54.6,,,,,,,,37.61,34.12,3.79,8.8,,
21,Lot 1,176982795,10-02-05-09,Carte des divisions administratives des territoires du sud,B335222107_10_02_05_09_001.jp2,,11280/77d0e9a8,78.2,,,,,,,,37.95,24.16,-3.7,11.97,,
22,Lot 1,176980709,10-02-05-10,Carte des divisions administratives de l'Algérie,B335222107_10_02_05_10_001.jp2,,11280/2b0839d4,106.4,,,,,,,,37.91,24.0,-6.1,12.0,,
23,Lot 1,174777795,10-02-05-12,Constantine,B335222107_10_02_05_12_001.jp2,,11280/4998f27b,116.4,,,11280/1d2f5e6e,11280/4e6ad1ee,11280/9147d0cc,11280/01583b4c,,,,,,,
24,Lot 1,176898948,10-02-05-13,Plan d'Oran et ses environs,B335222107_10_02_05_13_001.jp2,,11280/86e4bc6b,127.8,,,11280/e53c7dc1,11280/7ea7ecd1,11280/c56323f6,11280/a0b36b87,,,,,,,
25,Lot 1,049454749,10-02-06-01,Carte géologique provisoire de la province de Constantine et du Cercle de Bou-Saada,B335222107_10_02_06_01_001.jp2,,11280/c1ae4c6d,111.1,,,,,,,,37.3,33.65,2.9,8.92,,
26,Lot 1,176872329,10-02-06-03,Carte des forages artésiens de la province de Constantine (Subdivision de Batna),B335222107_10_02_06_03_001.jp2,,11280/91db95b7,79.6,,,,,,,,36.05,31.98,3.92,6.65,,
27,Lot 1,175854947,10-02-07-01,Carte agricole et industrielle de l'Algérie,B335222107_10_02_07_01_001.jp2,,11280/b639b80d,139.7,,,,,,,,37.92,32.98,-2.98,9.56,,
28,Lot 1,175854165,10-02-07-02,Carte agricole et industrielle de l'Algérie,B335222107_10_02_07_02_001.jp2,,11280/0a7babdb,127.6,,,,,,,,37.93,32.98,-3.02,9.51,,
29,Lot 1,177045388,10-02-08-01,Algérie Nord,B335222107_10_02_08_01_001.jp2,,11280/db695c3e,102.4,,,,,,,,37.22,31.96,-2.63,8.71,,
