PPN,title,creatorln,creatorfn,creatorentity,format,subject,language,extent,publisher,description,cote,handle Nakala jp2,handle_full_georef,handle geotiff,handle geotiff pdf,handle geotiff points,handle geotiff jp2,group,date,type,spatial,licence
177116692,Atlas de géographie générale. Afrique fascicule spécial de cinq feuilles G. Niox,Niox,Gustave-Léon,,56 x 70 cm,Tunisie#Algérie,fre,1:2000000,Ch. Delagrave,,10-02-02-02,11280/e45299d0,,,,,,,1903,http://purl.org/coar/resource_type/c_12cd,northlimit=37.57; southlimit=29.22; westlimit=-2.28; eastlimit=11.55,etalab-2.0
177118849,Atlas de géographie générale. Afrique fascicule spécial de cinq feuilles G. Niox,Niox,Gustave-Léon,,35 x 55 cm,"Afrique occidentale#Guinée, Golfe de",fre,1:8000000,Ch. Delagrave,,10-02-02-04,11280/4fb29044,,,,,,,1903,http://purl.org/coar/resource_type/c_12cd,northlimit=17.87; southlimit=-4.79; westlimit=-24.18; eastlimit=15.24,etalab-2.0
177119276,Atlas de géographie générale. Afrique fascicule spécial de cinq feuilles G. Niox,Niox,Gustave-Léon,,35 x 55 cm,Afrique centrale#Afrique du Nord-Est,fre,1:8000000,Ch. Delagrave,,10-02-02-05,11280/8cb27585,,,,,,,1903,http://purl.org/coar/resource_type/c_12cd,northlimit=17.88; southlimit=-4.08; westlimit=12.31; eastlimit=51.06,etalab-2.0
177122250,Atlas de géographie générale. Afrique fascicule spécial de cinq feuilles G. Niox,Niox,Gustave-Léon,,70 x 55 cm,Afrique,fre,1:16000000,Ch. Delagrave,En cartouche : Abyssinie au 1:10 000 000 ; Niger et Golfe de Guinée au 1:10 000 000 ; Sénégal au 1:4 000 000 ; Iles Mascareignes au 1:4 000 000 ; Baie de Diego-Suarez au 1:1 000 000 ; Transvaal au 1:10 000 000,10-02-02-06,11280/ac1f8eea,,,,,,,1903,http://purl.org/coar/resource_type/c_12cd,northlimit=45.55; southlimit=-44.97; westlimit=-28.58; eastlimit=69.33,etalab-2.0
177122838,Afrique (centrale et australe) G. Niox,Niox,Gustave-Léon,,90 x 121 cm,Afrique,fre,1:8000000,Ch. Delagrave,"En cartouche : Afrique au 1:30 000 000, et 17 autres cartouches de localisation du 1:4 000 000 au 1:1 000 000",10-02-02-07,11280/3cb76b90,,,,,,,1893,http://purl.org/coar/resource_type/c_12cd,northlimit=20.64; southlimit=-35.75; westlimit=-23.13; eastlimit=60.0,etalab-2.0
177041862,"Algérie, d'après les cartes de l'Etat-major et les documents du ministère de la guerre",Andriveau-Goujon,J.,,"67 x 96 cm, pliée 23 x 15 cm",Algérie,fre,1:1100000,E. Andriveau Goujon,"Dans le coin supérieur droit se lit le n° 21, et dans le coin inférieur droit : Atlas usuel, n° 28 ; Atlas universel, n° 41#En cartouche : Carte d'ensemble des rapports entre la France, l'Algérie, la Sénégambie et le nord de l'Afrique",10-02-04-01,11280/575c1a38,,,,,,,1873,http://purl.org/coar/resource_type/c_12cd,northlimit=37.49; southlimit=31.5; westlimit=-2.19; eastlimit=8.83,etalab-2.0
176999663,"Congrès d'Alger, carte des excursions lith. A. Jourdan",Jourdan,Adolphe,,16 x 23 cm,Algérie,fre,1:1000000,A. Jourdan,,10-02-05-02,11280/e6216def,,,,,,,1881,http://purl.org/coar/resource_type/c_12cd,northlimit=36.99; southlimit=35.87; westlimit=2.0; eastlimit=4.42,etalab-2.0
176995021,Carte de l'Algérie indiquant les centres de colonisation à peupler pendant la campagne agricole 1876-1877 lith. A. Jourdan,Jourdan,Adolphe,,32 x 44 cm,Algérie,fre,1:3000000,A. Jourdan,,10-02-05-03,11280/ae4da717,,,,,,,1878,http://purl.org/coar/resource_type/c_12cd,northlimit=42.68; southlimit=33.57; westlimit=-3.64; eastlimit=10.96,etalab-2.0
176996036,Carte de l'Algérie indiquant les centres de colonisation à créer pendant l'année 1880,,,,32 x 44 cm,Algérie,fre,1:3000000,[s.n.],,10-02-05-04,11280/6d7771c5,,,,,,,1880,http://purl.org/coar/resource_type/c_12cd,northlimit=42.5; southlimit=34.0; westlimit=-3.67; eastlimit=11.03,etalab-2.0
176984216,Carte des étapes de la Province d'Oran publiée par A. Jourdan...,Corny,E.,,40 x 52 cm,Algérie#Oran (Algérie ; région),fre,1:1000000,,"En carton : Environs d'Oran au 1:400 000#Bf XXXIII#En marge : ""Ancien maison Bastide""",10-02-05-05,11280/b520e5af,,,,,,,1878,http://purl.org/coar/resource_type/c_12cd,northlimit=37.16; southlimit=33.58; westlimit=-2.24; eastlimit=2.66,etalab-2.0
176986081,Carte des étapes de la Province d'Alger publiée par A. Jourdan...,Jourdan,Adolphe,,40 x 52 cm,Algérie#Alger (Algérie ; région),fre,1:1000000,,"En carton : Environs d'Alger au 1:400 000#En marge : ""Ancien maison Bastide""",10-02-05-06,11280/2bb21275,,,,,,,1878,http://purl.org/coar/resource_type/c_12cd,northlimit=37.02; southlimit=33.71; westlimit=0.26; eastlimit=5.06,etalab-2.0
